State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total,total-charging-stations,Charging_Station_Share (%),Chargers per 1k EVs,EV_per_Station,State Population (millions),State Area (km²),Urbanization Rate (%),EV-Friendly Policy Score,EV Registrations (in thousands),Electricity Rate (Rs/unit),Smart Cities Count
Tamil Nadu,17992,52753,7809,185.9,400.8,10,6,0,174,135559,833,4.88,2.810109,2776.93061,209.33,286195.53,21.19,10,606,8.4,1
Assam,27292,106093,1256,205.8,309.5,9,4,6,1011,50819,595,18.07,0.485713,4189.930491,190.47,127180.29,30.57,3,333,6.13,7
West Bengal,14817,92480,6372,212.5,447.6,8,7,6,1826,246919,177,12.74,0.438683,4486.692315,147.41,344626.74,57.3,4,249,5.33,1
Haryana,12682,33542,4313,97.4,356.3,29,0,2,522,118848,849,8.64,2.471325,2087.015812,202.75,214043.68,44.78,4,541,6.08,17
Uttarakhand,43774,57732,1552,29.7,208.1,23,5,7,993,12207,349,3.74,6.728598,4359.114615,13.72,266246.6,69.79,8,920,3.65,8
Gujarat,11107,80057,2159,436.0,271.6,5,5,7,1362,243718,37,11.05,8.406844,4314.218268,189.56,139893.51,83.52,8,871,7.99,13
Punjab,37683,44594,4189,202.3,420.0,0,0,2,134,24907,559,4.22,8.957817,2093.626884,68.49,233585.94,72.33,2,932,3.31,1
Kerala,61175,6490,7987,334.3,271.9,2,2,0,255,231682,495,15.13,1.72997,2449.200831,72.76,119480.74,67.8,10,676,5.3,6
Madhya Pradesh,6886,81859,3352,420.4,408.3,2,2,5,1957,19676,838,23.46,0.704445,3866.848932,190.15,157355.35,37.06,2,749,6.88,4
Chhattisgarh,50797,94963,7567,66.7,178.5,27,6,3,753,292969,75,14.57,0.940909,4092.494817,181.86,244764.23,52.6,5,521,7.27,4
Jharkhand,78333,59552,2393,286.3,316.3,11,9,2,307,205178,64,6.36,2.619123,1303.160461,56.83,150737.84,62.75,9,916,3.61,9
Odisha,32728,57819,2662,121.8,183.2,7,4,3,1362,147192,759,1.97,8.806665,1754.615156,178.52,349664.0,31.15,5,313,3.13,15
Telangana,45488,57542,2002,42.5,263.0,20,9,6,1038,24760,21,9.29,8.326604,3187.758288,24.05,141018.85,76.16,3,556,6.08,19
Andhra Pradesh,53317,13436,4612,415.3,105.1,10,2,7,1540,55400,397,15.64,2.152333,96.300708,127.64,182355.33,32.57,5,654,8.24,13
Uttar Pradesh,48272,60643,3088,258.5,476.5,19,6,9,326,190787,505,6.23,8.086577,3844.161639,103.7,247395.84,76.92,8,983,5.47,6
Delhi,62346,62367,2182,6.7,53.6,9,5,8,424,55288,685,11.2,9.846585,2346.149599,26.38,293549.73,36.37,1,92,4.44,15
Karnataka,45370,20376,8091,446.3,277.8,9,7,1,695,243599,289,13.09,4.081636,3644.985007,213.4,212461.92,56.35,10,879,6.84,8
Bihar,40587,35384,6670,463.4,211.6,17,2,7,1975,64203,690,7.24,6.923969,3729.35697,206.99,45188.33,67.62,6,192,3.1,7
Maharashtra,31403,80241,3886,51.4,253.8,18,8,4,1884,252285,528,22.53,9.071867,2585.480839,153.24,188128.04,54.95,3,555,8.93,10
Rajasthan,33979,32600,305,498.5,294.6,22,0,9,119,174229,138,7.09,9.166038,2741.349073,218.28,238702.76,88.43,5,466,6.26,3
Tamil Nadu,63225,100016,372,398.6,262.6,2,9,4,1477,125414,637,14.1,5.729881,4651.180494,248.28,315444.63,49.65,2,784,4.16,15
Assam,73608,112018,3723,50.7,23.2,8,0,1,1569,237514,171,7.88,4.203198,2301.361116,127.28,187582.0,72.41,6,659,3.38,19
West Bengal,52576,92215,5710,133.1,44.4,15,7,8,147,74758,410,5.29,1.905824,338.57632,66.57,164079.05,53.94,8,463,3.2,17
Haryana,49768,54105,8214,201.8,138.6,20,4,4,1706,143060,409,2.58,1.612024,1936.468639,8.0,230259.53,65.1,10,811,4.1,4
Uttarakhand,33617,109540,4374,157.3,50.5,17,7,5,687,54129,370,13.53,8.69529,3653.756342,237.29,308586.79,71.97,2,251,8.33,14
Gujarat,9105,73425,1521,171.4,341.2,22,5,3,798,195473,133,10.89,1.261694,2811.195209,177.15,348943.62,30.38,6,685,7.86,13
Punjab,2677,73578,9887,446.8,166.7,22,4,3,900,160369,686,2.49,0.318436,1739.839249,240.86,96790.2,23.47,3,621,7.1,5
Kerala,1065,95601,4205,265.6,116.9,28,5,3,402,246802,244,14.47,3.394834,135.468026,228.88,165527.83,46.14,6,655,8.78,1
Madhya Pradesh,40528,69110,397,219.3,269.9,14,8,0,96,257837,62,5.9,0.653114,1926.599851,14.0,133509.63,35.65,6,178,4.01,15
Chhattisgarh,33240,56240,3438,285.5,281.0,15,3,1,1045,205499,665,2.12,5.454498,4789.603562,57.09,274564.19,29.19,5,593,5.94,6
Jharkhand,44741,46459,7297,119.5,39.8,27,2,1,791,173793,995,14.83,7.75184,3536.473431,6.72,95115.05,55.21,8,788,6.67,5
Odisha,7617,65317,6226,24.7,224.4,1,5,4,1258,51831,833,8.33,4.639173,1882.542147,137.57,218690.51,86.88,6,880,6.74,10
Telangana,20677,95074,3127,360.3,255.7,3,5,1,664,67712,416,15.4,4.724825,1960.802659,185.48,241793.15,27.32,2,84,7.56,7
Andhra Pradesh,5574,116354,260,234.7,90.3,5,3,2,1183,86512,706,24.85,7.409064,278.075877,65.79,297530.32,86.21,8,891,3.95,1
Uttar Pradesh,53576,47537,6538,454.8,244.5,26,6,7,467,45554,495,24.66,7.122666,3751.926823,206.42,41591.03,73.23,9,775,4.72,3
Delhi,5512,108394,2953,243.0,1.0,22,2,3,1709,134827,844,9.3,9.693634,1155.924756,169.55,238177.8,38.13,4,409,6.95,11
Karnataka,65516,16551,7681,373.2,178.5,2,4,9,957,129959,285,16.12,4.314508,4664.566512,37.94,95247.7,89.79,10,934,7.62,4
Bihar,4676,114924,2450,111.5,283.0,4,3,3,1266,98011,766,3.02,4.45771,56.993075,245.03,327833.65,61.72,10,798,6.09,8
Maharashtra,29243,89770,3795,140.3,330.0,11,0,9,1220,270508,143,12.97,0.30527,1493.108635,45.86,126690.89,26.31,10,235,3.6,9
Rajasthan,73908,71956,2601,181.2,370.2,13,8,9,824,34517,240,16.96,1.612063,4629.216399,81.89,162241.67,36.15,4,299,7.94,4
Tamil Nadu,35940,32263,5432,311.2,236.1,3,7,1,751,237128,877,7.17,8.308191,174.626302,84.76,239918.52,24.01,4,728,6.18,6
Assam,62627,14698,4596,78.2,8.7,12,8,3,144,185581,784,6.8,6.07078,3348.952109,80.07,244603.47,62.58,9,251,4.69,4
West Bengal,37979,33778,6789,131.0,80.7,6,5,4,1365,30683,243,3.25,3.330288,2949.966665,190.57,28299.67,25.43,3,167,4.22,18
Haryana,61561,99265,6705,87.0,289.5,14,5,6,365,79636,489,7.39,6.944413,3710.056075,169.07,102281.22,36.94,9,262,6.7,16
Uttarakhand,42528,10890,7599,75.2,285.2,28,6,6,778,238427,644,21.17,9.268483,4873.798122,100.95,252536.25,42.17,8,249,8.83,17
Gujarat,19657,98550,3992,199.9,164.2,7,9,5,459,84447,395,18.49,4.04429,356.467073,161.08,41675.39,26.33,9,787,4.06,6
Punjab,36061,9044,1108,163.1,460.6,4,8,0,860,84560,463,17.44,0.2534,476.416831,63.43,236929.24,23.24,4,630,7.56,10
Kerala,16139,9260,2719,324.8,294.3,20,1,3,348,178226,654,23.57,3.236032,680.40813,159.29,247863.12,49.02,1,176,5.2,9
Madhya Pradesh,56239,31521,2533,59.3,94.5,25,6,5,1864,243490,940,5.26,5.35881,252.317667,61.42,175635.24,88.66,1,377,5.98,14
Chhattisgarh,65778,89659,2128,49.4,270.1,5,9,7,1694,125798,631,23.49,2.5763,588.630587,152.46,68319.08,57.28,10,255,6.68,14
Jharkhand,71806,92628,5550,393.2,482.7,29,0,5,1374,160235,482,9.18,4.049279,1311.944987,44.62,150875.85,33.71,9,208,5.74,12
Odisha,36043,72417,4555,426.4,404.8,26,3,6,831,297881,845,15.92,1.610793,3007.647068,120.27,133369.18,68.91,9,855,4.89,10
Telangana,12816,18928,9192,88.6,36.4,9,0,1,1809,73151,782,4.68,2.082528,2776.404823,164.66,157665.02,26.65,3,595,4.72,18
Andhra Pradesh,36745,30166,5631,452.6,55.5,0,4,9,1794,39662,774,21.08,1.157923,4852.660757,232.55,178748.06,32.4,10,618,4.84,17
Uttar Pradesh,18879,69817,1489,141.3,433.0,17,3,1,254,225917,659,10.95,3.760196,2160.756586,128.44,110453.39,27.93,9,244,3.09,6
Delhi,8690,84069,9022,164.0,79.0,9,5,0,1457,83776,362,6.19,0.333854,2626.502983,100.33,36079.95,71.27,9,217,6.27,8
Karnataka,69212,86600,828,154.6,268.2,29,8,0,32,289334,699,5.24,7.782243,2371.21677,241.54,265877.27,69.94,5,301,7.58,3
Bihar,40360,86792,4108,342.2,153.4,19,7,5,539,173501,560,22.6,1.214285,3057.752989,204.07,19254.48,76.62,4,405,8.51,16
Maharashtra,35990,6045,2166,109.9,99.4,15,8,4,448,246551,790,6.5,1.637909,1066.180527,197.23,279273.55,30.1,5,248,3.67,7
Rajasthan,60774,93089,9198,497.3,174.0,9,8,4,1104,205058,384,1.79,2.971661,1672.522417,214.96,343893.87,48.79,9,593,3.25,5
Tamil Nadu,53216,47719,4772,236.1,376.4,26,0,8,1549,98997,402,14.68,7.248418,2669.756334,220.83,349507.9,66.34,7,460,8.1,15
Assam,69144,71530,9263,27.1,168.8,12,2,9,151,188821,99,19.31,4.396156,291.531542,23.07,97075.84,20.97,3,932,6.86,18
West Bengal,62676,56117,1297,10.0,485.8,18,7,6,1865,143787,977,19.71,7.429773,2129.655198,150.37,282874.71,35.34,6,522,4.42,13
Haryana,62008,52620,4838,329.7,158.7,21,7,7,1082,225685,744,7.97,9.093645,2115.014891,92.95,133998.91,60.81,7,921,7.69,2
Uttarakhand,10734,8394,295,295.6,384.5,12,6,2,607,256908,158,17.9,2.508655,1359.485685,223.75,237610.22,23.66,1,998,3.83,9
Gujarat,76653,51685,8130,312.6,312.2,3,7,5,334,280047,792,5.3,5.99856,4352.79234,216.24,160222.07,61.2,2,334,4.27,16
Punjab,17108,14884,6666,233.6,284.6,24,6,4,1658,147504,915,22.24,3.172597,1984.778693,27.23,14778.36,27.42,1,727,5.06,5
Kerala,63670,104418,1493,348.1,352.7,15,4,5,154,219668,240,9.74,1.479915,3652.474,234.43,67792.77,44.06,4,688,5.12,11
Madhya Pradesh,46971,46765,2247,50.9,315.9,2,3,3,1038,194396,305,12.09,8.912193,1779.007587,90.73,339561.29,59.28,9,607,7.49,4
Chhattisgarh,49865,48658,1214,328.1,436.5,12,9,5,1506,86512,937,9.86,7.908065,4721.943287,40.06,313844.02,73.15,4,281,4.57,9
Jharkhand,56894,54604,2229,35.1,86.2,25,2,2,1454,236870,321,25.0,0.521311,2518.491385,135.14,160565.37,35.74,1,854,8.72,5
Odisha,27191,45856,8572,29.2,36.6,29,2,0,570,174871,950,2.15,8.089789,392.49173,92.99,233171.1,39.21,9,745,8.92,16
Telangana,14558,63135,9422,244.0,385.5,0,0,3,1062,81102,432,8.36,8.627825,1325.076218,195.0,239921.34,37.77,10,997,7.57,14
Andhra Pradesh,33084,95949,3469,330.9,329.3,18,5,3,1868,268867,481,11.85,4.341315,3662.592654,221.64,32904.98,25.26,7,424,4.52,18
Uttar Pradesh,35186,57315,6822,458.7,295.5,14,0,1,1125,37599,654,2.4,6.052815,453.012529,99.73,92844.57,86.61,4,919,5.02,12
Delhi,76932,50257,4339,386.2,32.5,4,5,5,1639,64192,215,22.46,8.347679,3511.639297,109.73,340991.84,78.86,2,557,5.45,9
Karnataka,38197,63553,6441,453.4,497.1,25,9,3,1603,81582,651,10.21,4.745583,2559.000196,15.29,153847.46,67.54,8,501,8.06,13
Bihar,5094,78386,9352,445.5,159.0,18,4,0,810,77254,645,2.09,5.351494,4756.006337,157.8,233883.36,76.59,7,82,6.9,14
Maharashtra,14033,69834,6428,119.3,288.3,2,4,9,125,214170,249,0.82,5.696368,113.89089,156.93,131436.42,76.33,5,614,6.02,9
Rajasthan,45825,86905,325,96.8,317.1,22,5,0,922,245706,703,13.97,7.18377,3617.327062,169.04,261281.99,35.73,1,87,5.71,7
Tamil Nadu,21159,3765,7488,265.3,352.7,19,1,0,208,225610,458,4.28,9.819914,1376.010944,140.68,51023.29,81.26,7,571,5.26,1
Assam,68504,36620,5306,206.9,164.4,17,0,1,1846,122252,756,12.83,4.384884,4426.059073,228.47,74215.77,48.43,2,685,6.34,16
West Bengal,2915,59275,4222,193.1,232.7,9,2,6,477,163115,355,19.58,4.411681,2403.600391,76.0,331330.79,57.52,9,319,5.09,9
Haryana,44171,111342,8190,51.7,403.2,20,9,2,608,126777,402,24.27,6.699633,2628.158769,74.41,18533.57,35.88,2,702,3.09,7
Uttarakhand,65875,93725,5910,443.9,127.5,3,5,1,201,206515,718,3.12,0.789968,4384.523065,120.92,293491.16,26.71,10,305,6.37,9
Gujarat,50203,30695,5047,220.5,240.1,21,4,0,1659,185096,289,13.45,5.074554,1988.894844,74.55,148119.97,49.0,5,582,8.39,10
Punjab,10446,84944,674,285.0,192.7,27,1,2,892,238225,752,4.91,2.475376,1009.25907,151.79,208003.18,42.21,5,957,5.06,9
Kerala,27330,52137,8153,111.9,389.5,12,2,0,275,110576,95,23.07,2.776663,4450.638194,127.06,312589.82,33.13,1,510,5.22,13
Madhya Pradesh,29036,96780,7815,325.2,169.9,13,4,5,1121,44277,294,21.05,5.659767,2839.81324,133.14,60266.28,61.51,10,458,7.85,12
Chhattisgarh,79227,7143,8188,489.3,122.4,8,3,7,24,220554,420,2.52,6.803107,4508.522692,7.8,319449.72,79.43,7,989,3.93,4
Jharkhand,77612,105624,7949,467.9,272.6,19,9,0,615,11474,538,11.99,5.007785,3486.30801,228.36,264158.15,79.02,8,384,5.61,4
Odisha,3035,107785,6325,465.1,46.5,13,5,6,817,49357,503,17.15,8.232589,4004.769039,127.5,283316.85,82.76,2,908,5.74,8
Telangana,55606,54329,757,83.3,240.7,20,6,8,1050,269034,710,16.99,7.996391,4081.284383,61.48,140314.83,41.9,9,236,7.04,18
Andhra Pradesh,13723,109993,1685,424.6,103.4,27,9,3,670,229561,739,3.89,6.401891,3702.227434,63.79,184623.0,45.56,7,324,3.78,5
Uttar Pradesh,33727,8496,7308,271.3,357.6,7,7,4,1022,270381,636,2.18,0.704211,3108.063609,71.75,140342.77,84.6,2,613,7.67,5
Delhi,79174,94232,7687,436.4,225.1,4,2,6,86,116203,81,9.77,8.392036,3192.022266,16.01,180540.2,87.27,4,37,5.35,12
Karnataka,50751,2596,3490,497.0,356.5,1,4,8,97,44105,668,16.82,4.884738,937.617437,103.56,111759.53,52.32,7,537,3.84,15
Bihar,23231,119524,9589,58.1,49.4,18,4,6,1808,171951,360,11.01,3.573721,3769.140581,158.27,347303.36,81.02,5,662,8.05,4
Maharashtra,64122,44797,8895,174.6,203.4,12,9,3,985,225051,567,21.26,8.148044,4387.285274,160.5,310245.41,83.37,2,921,4.28,4
Rajasthan,59841,68422,4750,52.0,73.0,8,9,5,1602,252206,347,3.32,1.816652,1105.644396,37.81,238938.89,83.99,1,181,5.23,16
Tamil Nadu,52675,103424,6961,441.6,367.5,24,5,5,98,148943,671,2.93,4.183211,1409.777092,139.17,258644.82,52.57,10,894,6.36,18
Assam,27215,19889,4733,273.0,264.5,2,2,1,1125,51652,725,16.61,8.485295,3965.509592,7.52,261098.23,82.18,9,294,4.95,1
West Bengal,13901,29392,6849,88.0,215.6,22,2,1,815,110827,299,13.71,5.746713,3072.277781,247.61,34805.01,84.64,3,813,6.09,2
Haryana,38345,82130,6755,225.1,147.2,24,5,5,1076,66212,304,6.41,0.550089,2986.337682,149.19,333013.62,53.92,4,174,4.74,19
Uttarakhand,72246,93926,1443,439.8,181.1,10,6,6,874,299009,813,19.07,2.46816,4654.149163,132.65,34664.38,75.8,9,448,4.69,19
Gujarat,7499,117918,6240,470.9,255.1,28,6,2,1835,267949,815,13.6,5.602566,720.040886,17.41,153187.58,85.68,2,262,5.4,15
Punjab,16980,28891,263,243.0,382.0,12,7,0,1220,276248,173,2.35,5.200273,1669.096667,60.33,334421.1,51.49,1,447,4.26,14
Kerala,18963,20103,3707,282.6,220.5,10,8,8,1825,182250,874,17.67,6.429125,3453.023832,99.67,323122.98,57.04,1,212,6.93,10
Madhya Pradesh,57317,8320,469,220.2,311.0,7,8,5,920,110519,685,1.63,9.749787,2500.01332,22.34,47140.73,77.11,7,358,6.25,2
Chhattisgarh,6133,104644,7000,89.6,438.5,20,8,3,1317,231533,99,11.95,7.170442,3803.584054,213.75,36845.92,69.93,10,961,7.05,6
Jharkhand,51461,86519,8579,225.1,38.5,25,1,7,807,180813,177,7.52,9.753458,774.206839,24.94,67544.31,31.89,6,176,4.16,14
Odisha,4327,108455,9474,264.7,363.2,13,6,2,1596,146754,254,15.79,5.011064,1389.602895,216.49,204499.84,65.5,7,314,6.2,18
Telangana,61183,113717,4265,19.6,329.5,10,1,3,603,144422,41,7.59,6.845477,4242.561784,119.29,43104.69,75.97,5,820,5.66,4
Andhra Pradesh,66044,113424,386,166.2,235.3,13,1,8,1858,191344,908,4.02,3.73527,4269.709629,52.59,269826.61,66.8,1,666,5.9,18
Uttar Pradesh,4748,49124,4708,244.5,497.4,28,5,0,87,207339,52,6.42,5.750671,3321.521582,195.6,190184.14,52.26,4,634,6.3,3
Delhi,47682,3962,8920,332.6,372.4,18,3,7,690,112723,195,21.08,6.253539,1899.244739,112.17,117925.16,24.12,9,893,9.0,2
Karnataka,78709,20205,4267,289.2,281.3,3,1,6,947,264676,585,3.83,8.635012,3495.966668,108.96,10012.62,31.98,4,149,4.27,5
Bihar,31937,76530,6009,262.7,278.4,17,4,9,1537,174699,814,24.31,0.677271,1168.264579,35.79,112580.58,34.12,10,125,8.46,1
Maharashtra,77996,86933,6509,492.5,213.4,28,6,6,1931,123754,614,6.48,1.793373,1034.107889,72.67,28279.17,27.46,8,915,3.39,14
Rajasthan,39120,30462,6293,47.7,137.6,27,0,9,1632,266039,872,19.6,5.74831,4698.517768,18.31,280549.08,38.35,9,189,6.19,17
Tamil Nadu,60041,92109,740,338.8,253.0,0,1,1,611,123134,285,5.02,6.089489,3210.553403,232.85,193941.47,28.16,10,299,3.55,14
Assam,76788,72605,8003,73.8,80.6,4,2,1,318,224469,79,2.59,1.006017,3013.039024,108.62,65989.59,21.57,7,699,8.05,9
West Bengal,11041,4886,4758,293.5,91.9,8,7,4,136,32579,15,15.91,6.621299,3128.095391,42.37,31999.4,20.94,5,283,7.65,18
Haryana,47898,84717,9433,95.0,20.1,4,4,2,423,235283,830,9.76,3.03957,401.037367,27.86,324763.73,51.38,10,477,5.81,16
Uttarakhand,49540,62822,1050,240.6,137.3,16,3,6,1012,240627,616,22.77,6.396431,3544.639254,205.64,235427.99,32.02,9,352,7.01,6
Gujarat,40670,80560,6785,349.6,234.4,27,7,1,837,113000,135,24.32,9.775952,1304.302418,117.52,56676.36,62.84,1,128,4.67,14
Punjab,13233,44231,8281,281.0,383.6,26,4,7,471,203678,616,21.98,0.281519,3189.94211,159.47,286235.97,35.91,3,996,5.87,3
Kerala,22539,77473,8390,81.4,7.6,5,7,9,1422,89349,512,9.44,2.987242,1093.371672,47.82,313595.31,74.96,3,746,7.24,12
Madhya Pradesh,22165,115698,1495,486.4,96.9,22,6,3,1332,134277,62,8.57,7.980863,3148.199953,236.03,255090.71,87.17,10,665,6.71,12
Chhattisgarh,64676,7613,2753,467.7,134.9,4,9,3,750,130934,353,7.76,8.898765,1048.171961,196.24,254012.77,42.08,9,669,4.27,13
Jharkhand,79993,1163,7749,404.7,128.3,3,1,7,781,24714,31,21.11,8.030322,4319.69021,93.56,322819.99,84.92,4,21,4.43,12
Odisha,39850,20229,286,483.9,312.6,17,6,4,231,104453,919,13.07,2.753066,1030.723642,207.38,285806.34,89.48,1,673,8.24,19
Telangana,47247,100965,822,475.2,122.6,15,9,8,1994,84529,937,15.05,2.087656,3154.113259,197.83,143870.33,79.15,3,98,4.33,6
Andhra Pradesh,59699,67513,9779,250.9,199.7,20,2,8,16,71773,410,9.93,9.223442,968.969965,136.87,42182.77,35.24,7,869,4.69,14
Uttar Pradesh,62673,46275,8255,296.1,67.9,17,8,2,963,24146,410,12.39,1.693814,1944.719037,88.44,203420.47,69.44,9,756,3.53,15
Delhi,65007,27302,3039,339.3,441.7,13,6,7,1646,297543,698,13.6,5.258075,4088.830063,125.01,269525.37,71.18,2,135,8.41,8
Karnataka,2269,23186,7968,91.1,315.9,5,6,0,1204,203902,834,6.75,4.15889,4291.508958,173.54,279065.59,82.08,2,726,5.69,2
Bihar,76583,116086,2230,262.8,98.1,21,8,3,1351,162882,842,8.65,9.988645,1175.690309,101.23,242645.17,63.64,6,799,6.03,18
Maharashtra,22456,77778,6843,336.0,322.6,12,4,2,1542,195587,238,15.05,3.733843,1561.588179,165.87,260188.96,30.23,7,901,4.9,15
Rajasthan,29684,23236,6995,318.4,140.0,8,5,6,1930,207940,488,10.77,3.421572,3065.967382,56.36,182419.99,60.64,3,238,7.43,4
Tamil Nadu,20811,39856,8729,465.6,129.6,5,2,6,1360,274581,60,5.17,2.394348,3453.515275,116.5,145229.47,21.11,5,280,6.2,17
Assam,63297,87508,834,399.0,143.2,2,6,8,292,163375,632,24.37,4.165355,2384.719423,145.05,309424.13,52.99,3,793,7.05,17
West Bengal,59214,37804,3930,384.5,361.4,27,8,1,1001,34424,497,0.89,5.000296,1763.054776,190.73,293198.87,67.74,4,362,6.6,3
Haryana,6801,96050,9803,270.7,232.1,20,2,7,654,195275,930,7.59,6.29875,4876.999364,179.33,282966.85,51.54,4,493,5.21,11
Uttarakhand,8161,36838,8748,444.0,279.4,29,2,5,212,187940,232,24.19,3.602261,2162.659746,84.61,167386.68,23.82,2,367,5.42,8
Gujarat,6143,48577,8268,445.5,422.9,1,7,6,158,36987,314,2.65,4.391712,192.735731,184.5,197072.24,68.11,4,47,5.95,4
Punjab,4497,25455,415,160.8,329.0,21,9,0,1162,179327,219,2.61,5.678147,4637.97245,40.26,101205.01,41.07,1,775,4.83,10
Kerala,46777,116583,396,238.3,177.1,25,0,7,1126,125341,279,19.87,5.092297,1084.850359,17.38,261732.4,70.07,6,667,4.97,9
Madhya Pradesh,10125,18096,3813,478.5,136.5,21,4,3,1602,274801,756,18.43,9.276064,1640.616377,88.45,320212.23,84.29,9,730,3.59,15
Chhattisgarh,26652,57108,3337,388.2,349.5,20,5,4,513,212442,875,24.69,6.275907,2152.307589,199.72,273240.16,50.93,10,552,8.77,8
Jharkhand,19048,84127,4304,127.3,216.2,9,5,2,1808,139159,995,7.88,9.190019,360.013832,201.87,279902.58,64.39,1,576,6.62,16
Odisha,28588,76396,6781,156.5,405.6,1,8,7,495,291367,360,19.82,8.822657,3757.047301,150.58,321410.41,45.63,8,381,5.49,1
Telangana,3765,6050,9547,122.3,80.2,3,8,4,581,114597,680,8.7,8.541164,4934.530714,159.66,76370.18,39.3,10,794,5.53,14
Andhra Pradesh,35355,15729,3764,382.7,58.6,21,3,9,209,180327,625,19.87,4.360562,1808.002269,8.01,327166.52,47.29,1,324,7.96,19
Uttar Pradesh,54475,3621,3541,472.8,37.6,9,4,7,469,266069,68,17.47,8.183865,765.073525,148.82,345645.87,54.16,1,608,4.49,7
Delhi,39137,57012,6591,192.6,205.3,8,4,4,1235,280579,418,1.65,1.08294,1578.696632,164.1,225059.39,85.28,1,57,6.76,6
Karnataka,42051,75399,900,363.1,174.4,18,9,7,191,117828,510,11.49,1.31356,2531.537918,116.9,215166.53,69.01,7,356,4.41,10
Bihar,69025,89234,1585,115.9,10.8,4,5,5,408,93317,561,13.25,0.967214,4172.462594,99.39,285904.91,89.09,1,354,6.56,2
Maharashtra,34564,11429,9693,323.5,274.6,9,7,4,1248,27666,190,23.65,6.022874,2965.997154,31.92,340272.21,43.65,10,231,8.08,19
Rajasthan,18572,114058,7723,369.9,352.4,26,9,1,1453,25472,330,14.49,6.465696,347.438639,249.42,190844.45,80.89,8,193,4.8,10
Tamil Nadu,49138,68970,6569,414.0,406.9,24,5,8,1568,188727,160,12.81,6.25914,4590.360309,31.79,115418.14,52.86,6,498,5.4,15
Assam,34517,42189,528,111.1,163.8,23,8,2,1990,149222,274,4.8,1.716839,3267.982762,230.03,329454.02,57.12,2,290,3.08,19
West Bengal,35200,20469,8260,181.7,374.4,14,0,0,1397,263000,203,10.68,6.717289,4066.900208,159.5,180110.79,76.14,8,643,7.27,4
Haryana,56565,6184,8241,417.5,309.5,14,6,1,653,121029,155,7.04,5.201046,2206.450873,108.37,216748.77,22.03,10,582,7.43,17
Uttarakhand,10753,22566,8996,488.4,282.4,22,3,2,1884,233705,720,16.08,4.879648,3458.410236,29.91,288479.51,78.73,7,838,7.36,2
Gujarat,49161,115694,8514,296.2,179.5,6,9,6,520,224652,81,14.44,4.051715,3158.83725,223.06,313177.41,69.52,2,122,5.27,5
Punjab,12424,43137,8800,243.1,244.7,4,3,3,1814,24416,825,1.67,2.536672,3699.138102,68.34,167396.28,27.79,8,71,6.27,2
Kerala,27940,22707,5288,122.1,164.2,7,8,6,1117,298977,446,11.91,7.64002,788.165943,230.62,155971.98,82.67,1,519,4.36,9
Madhya Pradesh,4891,29103,8540,256.0,214.8,0,9,0,718,81867,69,5.82,4.44235,4792.333078,45.87,29016.57,39.73,7,574,5.47,6
Chhattisgarh,23334,41876,4673,229.2,25.2,28,8,8,1385,196606,894,17.07,6.53092,4456.980612,103.28,52930.38,25.64,9,147,6.5,17
Jharkhand,40743,49434,5938,28.4,44.0,17,8,1,1456,198762,298,23.52,7.555351,2383.778214,73.5,296682.6,53.69,7,618,6.23,4
Odisha,56672,105501,7456,32.6,285.7,26,4,9,544,130455,542,17.46,9.686775,3168.563726,81.93,267680.82,52.01,6,352,5.27,5
Telangana,49127,19235,1052,363.9,278.2,11,0,7,1898,133703,704,5.84,8.522064,2246.296978,171.56,347088.27,82.13,6,427,4.91,15
Andhra Pradesh,10828,68403,4831,321.2,417.7,5,0,2,1691,144343,757,11.43,0.736919,1161.12634,194.26,278580.64,47.4,9,995,3.62,4
Uttar Pradesh,54856,91007,5257,461.4,249.9,6,3,8,656,189783,839,8.59,9.380914,3179.228476,181.62,304083.73,65.63,6,959,8.66,5
Delhi,53289,92311,8087,238.0,392.9,16,8,9,28,10157,358,17.81,3.676385,3590.307683,202.8,62175.24,72.98,5,460,7.13,18
Karnataka,33149,110335,4132,317.8,481.6,3,4,2,422,51368,173,14.49,7.839013,634.53207,47.9,27540.98,25.86,2,477,5.95,18
Bihar,47560,116776,2765,27.5,26.6,15,6,2,961,105709,129,23.71,9.520639,369.437052,205.79,243152.76,61.36,8,747,8.56,18
Maharashtra,39890,49869,3293,299.4,210.2,4,4,6,282,230797,367,10.78,6.439766,1054.962337,21.97,144700.0,43.98,7,601,5.72,10
Rajasthan,28683,87256,8895,63.6,128.3,15,4,0,630,150681,708,19.04,1.232012,4427.21322,38.75,269468.17,87.13,5,724,4.47,2
Tamil Nadu,69761,67981,2492,23.0,379.0,6,6,1,485,274615,110,7.17,5.450185,184.81766,38.19,177667.8,25.54,5,23,6.74,1
Assam,62160,48832,3791,357.8,226.2,17,0,4,971,98003,308,14.33,6.053198,4535.171733,49.11,253524.83,78.51,8,634,6.06,18
West Bengal,49528,28367,6495,101.4,217.7,21,3,5,848,13852,186,1.13,5.688554,204.175488,177.7,303404.5,87.27,5,634,7.69,15
Haryana,11652,32481,8052,52.3,193.3,16,1,7,163,145954,205,18.96,5.506946,3342.366282,5.51,193823.9,77.74,7,191,5.96,7
